Recorded Date,hackathon,What gender do you identify as? - Selected Choice,What gender do you identify as? - Other - Text,What is your age?,Which race/ethnicity best describes you? (Please choose only one.) - Selected Choice,Which race/ethnicity best describes you? (Please choose only one.) - Multiple ethnicity / Other (please specify) - Text,In what level of school are you currently enrolled?,What is the highest level of school you have completed or the highest degree you have received?,"What year will you graduate from university? If you already graduated, what year did you graduate in?",In what country do you live?,"In what state/province/region do you live? The drop-down list includes regions of US, UK, Canada, and Mexico. If you are not in one of these countries, select Other.","What school do you currently attend? If you have already graduated, what school did you graduate from?",What is your primary area of study? (your major) - Selected Choice,What is your primary area of study? (your major) - Other (please specify) - Text,How did you hear about this hackathon? (Select all that apply) - Selected Choice,How did you hear about this hackathon? (Select all that apply) - Other - Text,Did you win an award at this hackathon?,Please rate the following things at this hackathon: - Meals,Please rate the following things at this hackathon: - Drinks,Please rate the following things at this hackathon: - Snacks,Please rate the following things at this hackathon: - Internet,Please rate the following things at this hackathon: - Venue,Please rate the following things at this hackathon: - Judging,Please rate the following things at this hackathon: - Opening Ceremonies,Please rate the following things at this hackathon: - Closing Ceremonies & Demos,Please rate your agreement with the following statements. - I knew what was happening and when throughout the event.,Please rate your agreement with the following statements. - Going to this event made me excited about attending more hackathons.,"On a scale of 1-10, how likely are you to recommend this hackathon to a friend or colleague? (1 is extremely unlikely, 10 is extremely likely)",What was the best part of this hackathon?,What would you have changed about this hackathon?,Which sponsors did you interact with during the event?,How did the sponsor demos impact your choice of API?,,
3/6/18 11:51,Hacktech,Male,,25,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2018,United States of America,California,USC,Computer Science,,E-mail,,No,3,1,4,4,1,3,3,5,Somewhat agree,Somewhat agree,5,The number of teams that attended it,The venue,None,Gave a good idea about which one does what,4,4
3/6/18 11:52,Hacktech,Male,,23,Black or African American,,Graduate degree,Code school/Bootcamp/ Other non-degree program,2016,United States of America,Washington,CALTECH,Physics,,Other,David Ortega (caltech),"Yes. I placed at a hackathon (e.g. First, Second, Third, etc.)",5,5,5,5,5,5,5,5,Strongly agree,Strongly agree,10,jensen lab caltech ftw ,josephine suh,belinda pang,yay nvidia,5,5
3/6/18 11:53,Hacktech,Female,,18,Black or African American,,Some college but no degree,Undergraduate,2021,United States of America,Maryland,UMBC,Computer Science,,Through MLH's website,,No,5,5,5,5,4,5,5,5,Strongly agree,Strongly agree,10,the food,maybe bathrooms,ebay,made me choose the api more,5,5
3/6/18 11:54,Hacktech,Male,,19,White / Caucasian,,"High school degree or equivalent (e.g., GED)",Undergraduate,2021,United States of America,Texas,The University of Texas at Dallas,Computer Science,,"Social Media,Through MLH's website",,No,2,4,5,4,5,5,5,5,Strongly agree,Strongly agree,9,The mentors we're super helpful and cool :),The food wasnt very good...,"Facebook, Google, twilio","Not much, we had already decided on our project",5,5
3/6/18 11:56,Hacktech,Female,,17,Asian / Pacific Islander,,Less than high school degree,Highschool/Primary School,2022,United States of America,California,Palo Alto HIgh,I am a high school student,,Word of mouth,,Yes. I won a category prize (e.g. Best Hardware Hack),3,3,4,4,4,4,5,5,Strongly disagree,Strongly disagree,8,Puppies,more healthy food,all of them,they didn't,1,1
3/6/18 11:56,Hacktech,Male,,22,White / Caucasian,,Some college but no degree,Undergraduate,2018,United States of America,Wisconsin,University of Wisconsin Madison,Computer Engineering,,Through MLH's website,,Yes. I won a category prize (e.g. Best Hardware Hack),5,5,5,5,5,5,5,5,Strongly agree,Strongly agree,10,well structured,Had an HDMI monitor for setting Dragonboards/Pis,twillow,we used texting for input,5,5
3/6/18 11:57,Hacktech,Male,,18,Asian / Pacific Islander,,Some college but no degree,Undergraduate,2020,United States of America,California,UCLA,Computer Science,,"Through MLH's website,Word of mouth",,Yes I won a sponsor prize (e.g. Best Use of the Twilio API),5,5,5,5,5,5,5,5,Strongly agree,Strongly agree,10,The buffet-style and always-available meals and vitamin drinks. The conference room used for both gaming and sleeping,Nuts and seeds for healthier snacking,"eBay, Microsoft, Disney",None,5,5
3/6/18 11:58,Hacktech,Female,,18,White / Caucasian,,"High school degree or equivalent (e.g., GED)",Undergraduate,2021,United States of America,California,UC Irvine,Computer Science,,Through MLH's website,,No,5,5,5,2,3,4,5,5,Somewhat agree,Strongly agree,10,cool hardware and great food,"wi-fi was bad, too many hacking venues","Sapient Razorfish, Twilio, Disney, Ebay",they gave me hacking ideas,4,5
3/6/18 11:59,Hacktech,Female,,20,Asian / Pacific Islander,,Some college but no degree,Undergraduate,2019,United States of America,California,UCLA,Computer Science,,Word of mouth,,No,4,4,3,2,3,3,4,4,Strongly agree,Somewhat agree,8,Puppies and food and relatively short closing ceremony.,"Venue, the places were a bit cramped.","eBay, Facebook, Google",Didn't impact me,5,4
3/6/18 12:01,Hacktech,Male,,19,Asian / Pacific Islander,,Some college but no degree,Undergraduate,2020,United States of America,California,"University of California, Riverside",Computer Science,,"Social Media,E-mail",,No,4,4,4,2,4,3,4,4,Somewhat agree,Strongly agree,6,The interaction with the sponsors and their willingness to help the hackers.,"Move to a bigger building, move near the showers, so people dont have to walk so far. ","Microsoft, Northrop Grumman, Ebay",I didnt use an api,4,5
3/6/18 12:01,Hacktech,Female,,20,Asian / Pacific Islander,,"High school degree or equivalent (e.g., GED)",Undergraduate,2020,United States of America,California,UCLA,Computer Science,,Word of mouth,,Yes I won a sponsor prize (e.g. Best Use of the Twilio API),4,4,4,3,3,4,3,3,Somewhat agree,Somewhat agree,8,Dance dance revolution.,Better food.,"Ebay, Microsoft",It didn't,4,4
3/6/18 12:02,Hacktech,Female,,21,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2019,United States of America,California,University of Southern California,Computer Science,,"Social Media,Through MLH's website,E-mail",,No,3,3,3,3,3,2,4,2,Somewhat agree,Strongly agree,8,We learned a lot. ,This was my first time at Hacktech. ,Microsoft,Come to know about many new API of Microsoft,4,5
3/6/18 12:09,Hacktech,Male,,26,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2018,United States of America,California,"University of California, Irvine",Computer Engineering,,Through MLH's website,,No,3,3,3,1,3,2,3,3,Somewhat agree,Somewhat agree,6,food,better internet,Microsoft,be able to run unlimited test for API,4,4
3/6/18 12:10,Hacktech,Male,,22,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2019,India,California,University of Southern California,Computer Science,,Through MLH's website,,No,3,5,4,5,4,5,5,5,Strongly agree,Strongly agree,10,Networking with other people and company representatives.,A seperate area for people to sleep. 4 to 5 hrs of sound sleep would have re-energized me. ,"Disney , Ebay, Microsoft",Yes it did. Microsoft's workshop encouraged me to use their API.,5,5
3/6/18 12:12,Hacktech,Male,,27,Asian / Pacific Islander,,Graduate degree,Graduate (Master's program),2019,United States of America,California,USC,Computer Science,,E-mail,,No,3,3,3,1,3,1,1,1,Somewhat agree,Somewhat agree,5,coding,"better team formation and judgement",ebay disney microsoft,didnt,4,4
3/6/18 12:13,Hacktech,Female,,23,Asian / Pacific Islander,,Graduate degree,Graduate (Master's program),2018,United States of America,California,University of Southern California,Computer Engineering,,Social Media,,No,1,3,5,5,3,5,5,5,Strongly agree,Strongly agree,7,Stringent Deadline Environment,Accommodation and meal facilities,"Google, Microsoft",Gave a better perspective of what to use for my hack,5,5
3/6/18 12:16,Hacktech,Female,,21,Asian / Pacific Islander,,Some college but no degree,Undergraduate,2018,United States of America,California,Caltech,Mathematics,,Word of mouth,,No,4,4,3,3,4,4,4,4,Neither agree nor disagree,Neither agree nor disagree,10,food,exhibit hall,none,none,3,3
3/6/18 12:16,Hacktech,Male,,24,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2019,United States of America,California,University of Southern California ,Computer Science,,"Through MLH's website,E-mail",,No,5,5,5,5,5,5,5,5,Somewhat agree,Strongly agree,10,New ideas,No change,Microsoft google eBay ,Got to know a lot about their api and it‰Ûªs potentiality,4,5
3/6/18 12:19,Hacktech,Male,,23,White / Caucasian,,"High school degree or equivalent (e.g., GED)",Undergraduate,2018,United States of America,California,"University of California, Riverside",Computer Science,,Social Media,,No,5,5,5,2,5,5,5,5,Strongly agree,Strongly agree,10,Camping out in the rooms of CalTech. The food was nice too. ,Way better internet access. It got pretty frustrating. ,"Disney, Ebay, Google",They did not.,5,5
3/6/18 12:21,Hacktech,Male,,25,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2019,United States of America,California,University of Southern California,Electrical Engineering,,Social Media,,No,3,5,4,4,3,3,4,5,Somewhat agree,Strongly agree,9,"Mentorships and Workshops, Also practically unlimited food.",Hacking environment could have been made more comfortable with bean bags and all. Judging could have been separated from expo.,"Microsoft, ebay, Sapient Razorfish",Heavily influenced and highly informative. May not have chosen those apis without demos.,4,5
3/6/18 12:21,Hacktech,Male,,18,Asian / Pacific Islander,,"High school degree or equivalent (e.g., GED)",Undergraduate,2021,United States of America,California,USC,Computer Science,,Through MLH's website,,No,5,5,5,1,5,5,5,5,Strongly disagree,Strongly disagree,10,the food,nothing,"Microsoft, Google",A lot,1,1
3/6/18 12:21,Hacktech,Male,,25,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2018,United States of America,California,USC,Computer Science,,E-mail,,No,3,5,5,4,5,5,5,5,Strongly agree,Strongly agree,10,It was really well organized. ,The food. ,Twilio and microsoft,Hugely. Choose the apis only because of the demos.,5,5
3/6/18 12:26,Hacktech,Male,,19,Prefer not to answer,,"High school degree or equivalent (e.g., GED)",Undergraduate,2020,United States of America,California,UCSD,Computer Science,,Through MLH's website,,No,2,2,2,4,4,4,3,4,Neither agree nor disagree,Somewhat agree,9,Caltech,I wish the UCSD bus actually came,None,None,3,4
3/6/18 12:26,Hacktech,Male,,21,Asian / Pacific Islander,,"High school degree or equivalent (e.g., GED)",Undergraduate,2018,United States of America,California,UC Irvine,Computer Science,,E-mail,,No,5,5,5,3,4,4,4,4,Somewhat agree,Somewhat agree,9,It was organized very well and the workshops were actually helpful. ,Have a member of the organizing team present at each room (Chandler and Avery),"Microsoft, Disney, Twilio",Not that much ,4,4
3/6/18 12:28,Hacktech,Female,,18,White / Caucasian,,Some college but no degree,Undergraduate,2021,United States of America,California,Caltech,Computer Science,,E-mail,,No,2,3,5,4,5,5,3,5,Strongly agree,Strongly agree,10,"The best part was seeing everyone else's projects and learning about new software development tools, like Custom Vision.",I would have improved the food quality to include more fresh fruits and healthier options overall.,"Microsoft, Disney",I feel like I know Microsoft's API much better now,5,5
3/6/18 12:30,Hacktech,Female,,20,Asian / Pacific Islander,,"High school degree or equivalent (e.g., GED)",Undergraduate,2019,United States of America,California,"University of California, Riverside",Computer Science,,Social Media,,No,5,5,5,5,5,5,5,5,Strongly agree,Strongly agree,10,Workshops.,Nothing.,"Disney, Twilio, Google",Their demos lead me to use their API.,5,5
3/6/18 12:31,Hacktech,Male,,24,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),2018,United States of America,California,USC,Computer Science,,E-mail,,No,5,5,5,3,4,5,5,4,Strongly agree,Strongly agree,10,Fooooooood,Maybe just my project :p,eBay twilio google Facebook Microsoft 1517,little,5,5
3/6/18 12:34,Hacktech,Male,,22,Asian / Pacific Islander,,Bachelor degree,Graduate (Master's program),1,United States of America,California,USC,Computer Science,,"Social Media,Word of mouth,E-mail",,No,5,5,5,5,5,5,5,5,Strongly agree,Strongly agree,9,"The meal, the drink",The accommodation. The  room is too cold at night !!!!!!!!!!!!!!,"Microsoft, Google",The Microsoft work shop.,5,5
